date,chronos,chronos_lo,chronos_hi
2016-05-13 19:00:00,169.5087127685547,89.70599365234375,314.9453125
2016-05-13 20:00:00,112.91114044189453,59.495941162109375,235.19561767578125
2016-05-13 21:00:00,83.10281372070312,51.51716995239258,175.92730712890625
2016-05-13 22:00:00,70.101318359375,51.255653381347656,133.3782196044922
2016-05-13 23:00:00,60.55513000488281,50.14267349243164,106.5620346069336
2016-05-14 00:00:00,56.574066162109375,48.952613830566406,91.83714294433594
2016-05-14 01:00:00,57.57277297973633,49.51521301269531,90.74762725830078
2016-05-14 02:00:00,53.70518493652344,46.761234283447266,88.61487579345703
2016-05-14 03:00:00,51.70808410644531,44.841617584228516,91.32241821289062
2016-05-14 04:00:00,53.454795837402344,44.72574234008789,104.43079376220703
2016-05-14 05:00:00,55.17192459106445,39.999595642089844,125.21539306640625
2016-05-14 06:00:00,65.8366928100586,37.23136520385742,168.85528564453125
2016-05-14 07:00:00,113.19752502441406,53.180049896240234,255.5752716064453
2016-05-14 08:00:00,173.31512451171875,81.88504028320312,351.0152893066406
2016-05-14 09:00:00,192.50616455078125,90.34786987304688,396.3373107910156
2016-05-14 10:00:00,210.45156860351562,100.99492645263672,433.0733337402344
2016-05-14 11:00:00,224.24215698242188,101.13195037841797,452.7427062988281
2016-05-14 12:00:00,207.21405029296875,95.43846893310547,428.8905944824219
2016-05-14 13:00:00,166.87710571289062,80.14225006103516,368.3961181640625
2016-05-14 14:00:00,135.67091369628906,67.47000885009766,314.420166015625
2016-05-14 15:00:00,124.50659942626953,59.87883377075195,298.0542297363281
2016-05-14 16:00:00,150.32489013671875,69.64431762695312,330.74810791015625
2016-05-14 17:00:00,175.33213806152344,83.43768310546875,354.2416687011719
2016-05-14 18:00:00,136.56488037109375,68.91507720947266,297.2509765625
2016-05-14 19:00:00,119.56765747070312,87.8630599975586,185.77926635742188
2016-05-14 20:00:00,93.58072662353516,70.28092956542969,149.11944580078125
2016-05-14 21:00:00,71.50746154785156,57.90571212768555,113.69691467285156
2016-05-14 22:00:00,62.919464111328125,53.9276123046875,92.82337951660156
2016-05-14 23:00:00,58.95387268066406,52.772491455078125,79.99305725097656
2016-05-15 00:00:00,57.32685852050781,51.65842056274414,73.06835174560547
