date,actual,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax,xgboost_conditional,xgboost_strict,chronos
2016-05-13 19:00:00,208.33333333333334,97.46163394267658,348.3333333333333,123.33333333333333,126.66666666666667,348.432667343944,210.72897381098892,234.37289428710938,231.36883544921875,169.5087127685547
2016-05-13 20:00:00,120.0,97.46163394267658,348.3333333333333,100.0,116.66666666666667,348.53200135455467,183.28376782709785,252.83169555664062,234.23455810546875,112.91114044189452
2016-05-13 21:00:00,63.333333333333336,97.46163394267658,348.3333333333333,71.66666666666667,71.66666666666667,348.63133536516534,137.14234100469824,209.7650909423828,203.55206298828125,83.10281372070312
2016-05-13 22:00:00,55.0,97.46163394267658,348.3333333333333,60.0,53.333333333333336,348.730669375776,104.91428046299434,114.67405700683594,145.76466369628906,70.101318359375
2016-05-13 23:00:00,61.666666666666664,97.46163394267658,348.3333333333333,56.666666666666664,58.333333333333336,348.8300033863867,95.0942008556351,100.9119644165039,110.49433898925781,60.55513000488281
2016-05-14 00:00:00,58.333333333333336,97.46163394267658,348.3333333333333,55.0,51.666666666666664,348.92933739699737,80.90048256316584,92.42347717285156,128.34278869628906,56.574066162109375
2016-05-14 01:00:00,63.333333333333336,97.46163394267658,348.3333333333333,53.333333333333336,56.666666666666664,349.02867140760804,76.36494110260776,75.64427947998047,103.63807678222656,57.57277297973633
2016-05-14 02:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,53.333333333333336,349.1280054182187,72.20395023297975,74.81023406982422,89.01254272460938,53.70518493652344
2016-05-14 03:00:00,60.0,97.46163394267658,348.3333333333333,58.333333333333336,55.0,349.2273394288294,66.58439286182829,73.3319091796875,83.76402282714844,51.70808410644531
2016-05-14 04:00:00,60.0,97.46163394267658,348.3333333333333,50.0,55.0,349.32667343944007,64.86266407713195,81.00091552734375,87.01055908203125,53.45479583740234
2016-05-14 05:00:00,56.666666666666664,97.46163394267658,348.3333333333333,58.333333333333336,51.666666666666664,349.4260074500508,70.14651361771321,92.30516815185547,101.32430267333984,55.17192459106445
2016-05-14 06:00:00,63.333333333333336,97.46163394267658,348.3333333333333,146.66666666666666,53.333333333333336,349.5253414606615,77.17488822698309,101.52940368652344,114.22016143798828,65.8366928100586
