,xgboost_conditional
2016-05-13 19:00:00,234.37289428710938
2016-05-13 20:00:00,252.83169555664062
2016-05-13 21:00:00,209.7650909423828
2016-05-13 22:00:00,114.67405700683594
2016-05-13 23:00:00,100.9119644165039
2016-05-14 00:00:00,92.42347717285156
2016-05-14 01:00:00,75.64427947998047
2016-05-14 02:00:00,74.81023406982422
2016-05-14 03:00:00,73.3319091796875
2016-05-14 04:00:00,81.00091552734375
2016-05-14 05:00:00,92.30516815185547
2016-05-14 06:00:00,101.52940368652344
2016-05-14 07:00:00,134.1659393310547
2016-05-14 08:00:00,138.1639404296875
2016-05-14 09:00:00,133.2683868408203
2016-05-14 10:00:00,152.9444122314453
2016-05-14 11:00:00,163.90267944335938
2016-05-14 12:00:00,165.93299865722656
2016-05-14 13:00:00,154.0078125
2016-05-14 14:00:00,137.1775360107422
2016-05-14 15:00:00,125.8964614868164
2016-05-14 16:00:00,158.05487060546875
2016-05-14 17:00:00,195.6612091064453
2016-05-14 18:00:00,203.3277130126953
2016-05-14 19:00:00,164.8572998046875
2016-05-14 20:00:00,136.0581512451172
2016-05-14 21:00:00,84.37054443359375
2016-05-14 22:00:00,70.47390747070312
2016-05-14 23:00:00,60.91071701049805
2016-05-15 00:00:00,59.62447738647461
2016-05-15 01:00:00,57.20332717895508
2016-05-15 02:00:00,56.92123031616211
2016-05-15 03:00:00,57.81486129760742
2016-05-15 04:00:00,56.831443786621094
2016-05-15 05:00:00,58.9915885925293
2016-05-15 06:00:00,86.10062408447266
2016-05-15 07:00:00,110.55448150634766
2016-05-15 08:00:00,150.10313415527344
2016-05-15 09:00:00,141.1511993408203
2016-05-15 10:00:00,159.2018585205078
2016-05-15 11:00:00,131.72410583496094
2016-05-15 12:00:00,115.64220428466797
2016-05-15 13:00:00,128.26953125
2016-05-15 14:00:00,107.32836151123047
2016-05-15 15:00:00,111.2430419921875
2016-05-15 16:00:00,173.96092224121094
2016-05-15 17:00:00,237.73202514648438
2016-05-15 18:00:00,270.3650817871094
2016-05-15 19:00:00,129.04676818847656
2016-05-15 20:00:00,108.85603332519531
2016-05-15 21:00:00,80.58964538574219
2016-05-15 22:00:00,58.48442840576172
2016-05-15 23:00:00,55.19736099243164
2016-05-16 00:00:00,54.69296646118164
2016-05-16 01:00:00,53.65746307373047
2016-05-16 02:00:00,53.955989837646484
2016-05-16 03:00:00,53.43543243408203
2016-05-16 04:00:00,52.822235107421875
2016-05-16 05:00:00,56.05185317993164
2016-05-16 06:00:00,55.96176528930664
2016-05-16 07:00:00,70.30817413330078
2016-05-16 08:00:00,109.78423309326172
2016-05-16 09:00:00,130.69317626953125
2016-05-16 10:00:00,168.2519989013672
2016-05-16 11:00:00,145.379638671875
2016-05-16 12:00:00,107.65695190429688
2016-05-16 13:00:00,134.66136169433594
2016-05-16 14:00:00,102.33843231201172
2016-05-16 15:00:00,119.41759490966797
2016-05-16 16:00:00,130.43092346191406
2016-05-16 17:00:00,202.79388427734375
2016-05-16 18:00:00,149.43212890625
2016-05-16 19:00:00,135.16400146484375
2016-05-16 20:00:00,129.45401000976562
2016-05-16 21:00:00,99.64403533935547
2016-05-16 22:00:00,73.74724578857422
2016-05-16 23:00:00,71.25614929199219
2016-05-17 00:00:00,59.94222640991211
2016-05-17 01:00:00,51.982547760009766
2016-05-17 02:00:00,51.267425537109375
2016-05-17 03:00:00,51.38966751098633
2016-05-17 04:00:00,52.92310333251953
2016-05-17 05:00:00,59.22188186645508
2016-05-17 06:00:00,65.18932342529297
2016-05-17 07:00:00,77.10087585449219
2016-05-17 08:00:00,93.78545379638672
2016-05-17 09:00:00,84.9222412109375
2016-05-17 10:00:00,87.82939910888672
2016-05-17 11:00:00,83.7882080078125
2016-05-17 12:00:00,80.48353576660156
