date,sarimax
2016-05-13 19:00:00,210.7289738109888
2016-05-13 20:00:00,183.28376782709773
2016-05-13 21:00:00,137.14234100469807
2016-05-13 22:00:00,104.91428046299416
2016-05-13 23:00:00,95.09420085563494
2016-05-14 00:00:00,80.90048256316567
2016-05-14 01:00:00,76.36494110260765
2016-05-14 02:00:00,72.20395023297964
2016-05-14 03:00:00,66.5843928618282
2016-05-14 04:00:00,64.86266407713188
2016-05-14 05:00:00,70.14651361771317
2016-05-14 06:00:00,77.17488822698309
2016-05-14 07:00:00,97.30623074260245
2016-05-14 08:00:00,105.45117704744109
2016-05-14 09:00:00,88.76353358870726
2016-05-14 10:00:00,89.91071401418674
2016-05-14 11:00:00,94.81700659049042
2016-05-14 12:00:00,90.0140811506468
2016-05-14 13:00:00,82.16970944200787
2016-05-14 14:00:00,82.69831892140618
2016-05-14 15:00:00,74.48455225496063
2016-05-14 16:00:00,99.95143953978527
2016-05-14 17:00:00,145.46804241156033
2016-05-14 18:00:00,134.93287169729922
2016-05-14 19:00:00,127.42845230602666
2016-05-14 20:00:00,102.93364833765654
2016-05-14 21:00:00,69.2866600716454
2016-05-14 22:00:00,61.05525521665985
2016-05-14 23:00:00,51.59364902300583
2016-05-15 00:00:00,47.659853968451735
2016-05-15 01:00:00,45.60877818446345
2016-05-15 02:00:00,43.677521162187546
2016-05-15 03:00:00,42.91980198852139
2016-05-15 04:00:00,41.839343627315856
2016-05-15 05:00:00,50.48504149233369
2016-05-15 06:00:00,60.65705274459778
2016-05-15 07:00:00,86.76428495184369
2016-05-15 08:00:00,99.80843811082161
2016-05-15 09:00:00,86.15294166282796
2016-05-15 10:00:00,90.8267112300807
2016-05-15 11:00:00,93.09551384809878
2016-05-15 12:00:00,90.4468606039118
2016-05-15 13:00:00,84.57607143669883
2016-05-15 14:00:00,84.59287148258954
2016-05-15 15:00:00,80.05728772108752
2016-05-15 16:00:00,104.18563267438708
2016-05-15 17:00:00,152.75377908556226
2016-05-15 18:00:00,140.1340309092871
2016-05-15 19:00:00,103.90017560607045
