date,lower,upper
2016-05-13 19:00:00,82.72610702270018,338.7318405992777
2016-05-13 20:00:00,46.70577888968549,319.86175676451023
2016-05-13 21:00:00,-7.322117440336683,281.60679944973316
2016-05-13 22:00:00,-43.09159028463249,252.92015121062116
2016-05-13 23:00:00,-55.00421362752961,245.19261533879978
2016-05-14 00:00:00,-70.65854129223001,232.4595064185617
2016-05-14 01:00:00,-75.69121661140596,228.42109881662148
2016-05-14 02:00:00,-80.21528008673867,224.62318055269816
2016-05-14 03:00:00,-85.9890643828223,219.1578501064789
2016-05-14 04:00:00,-87.78412106224904,217.50944921651296
2016-05-14 05:00:00,-82.56020833071064,222.85323556613707
2016-05-14 06:00:00,-75.56059366373734,229.9103701177035
2016-05-14 07:00:00,-55.45739831648922,250.069859801694
2016-05-14 08:00:00,-47.335129035751834,258.2374831306339
2016-05-14 09:00:00,-64.04059140395375,241.56765858136814
2016-05-14 10:00:00,-62.91073459176586,242.73216262013915
2016-05-14 11:00:00,-58.0172362908483,247.65124947182886
2016-05-14 12:00:00,-62.83066918691543,242.85883148820864
2016-05-14 13:00:00,-70.68292953525471,235.02234841926995
2016-05-14 14:00:00,-70.15965488416171,235.55629272697345
2016-05-14 15:00:00,-78.37721519861735,227.34631970853803
2016-05-14 16:00:00,-52.91269769230692,252.815576771877
2016-05-14 17:00:00,-7.397598328864376,298.33368315198464
2016-05-14 18:00:00,-17.93370887412965,287.79945226872786
2016-05-14 19:00:00,-0.5744143757614495,255.43131898781488
2016-05-14 20:00:00,-33.644340486452364,239.5116371617655
2016-05-14 21:00:00,-75.17779825421697,213.75111839750787
2016-05-14 22:00:00,-86.95061540891845,209.06112584223825
2016-05-14 23:00:00,-98.50476534092147,201.69206338693314
2016-05-15 00:00:00,-103.89916976654037,199.21887770344392
2016-05-15 01:00:00,-106.44737940885011,197.66493577777703
2016-05-15 02:00:00,-108.74170903668104,196.09675136105616
2016-05-15 03:00:00,-109.65365513653938,195.4932591135822
2016-05-15 04:00:00,-110.8074413933212,194.4861286479529
2016-05-15 05:00:00,-102.22168033936723,203.1917633240346
2016-05-15 06:00:00,-92.07842903093294,213.3925345201284
2016-05-15 07:00:00,-65.99934399326399,239.52791389695125
2016-05-15 08:00:00,-52.97786785942134,252.59474408106445
2016-05-15 09:00:00,-66.65118321739698,238.95706654305275
2016-05-15 10:00:00,-61.99473726378099,243.6481597239422
2016-05-15 11:00:00,-59.73872892131442,245.9297566175117
2016-05-15 12:00:00,-62.397889621792416,243.29161082961562
2016-05-15 13:00:00,-68.27656742874056,237.42871030213763
2016-05-15 14:00:00,-68.26510221116484,237.45084517634325
2016-05-15 15:00:00,-72.80447962068196,232.9190550628564
2016-05-15 16:00:00,-48.678504445898824,257.04976979467244
2016-05-15 17:00:00,-0.11186154305693208,305.6194197141811
2016-05-15 18:00:00,-12.73254955033508,293.000611368909
2016-05-15 19:00:00,-24.102690982323423,231.9030421944644
2016-05-15 20:00:00,-51.021216313438686,222.13476113605947
2016-05-15 21:00:00,-78.85132276924382,210.07759367346767
2016-05-15 22:00:00,-88.5739912617111,207.43774977538823
2016-05-15 23:00:00,-95.45129522801918,204.7455332907081
2016-05-16 00:00:00,-94.33509806896174,208.78294918984946
2016-05-16 01:00:00,-95.02427805549729,209.08803691943672
2016-05-16 02:00:00,-94.89925649801756,209.93920368776384
2016-05-16 03:00:00,-95.70913643835667,209.4377776020192
2016-05-16 04:00:00,-96.1082536119001,209.185316221112
2016-05-16 05:00:00,-87.57410416154522,217.8393392971393
2016-05-16 06:00:00,-79.10589741047612,226.365065938557
2016-05-16 07:00:00,-55.0609202271543,250.46633746314748
2016-05-16 08:00:00,-44.83584420498275,260.736767537403
2016-05-16 09:00:00,-62.830063683750964,242.77818587949997
2016-05-16 10:00:00,-61.76140666932287,243.88149012180708
2016-05-16 11:00:00,-60.663224229984365,245.0052611125387
2016-05-16 12:00:00,-63.250624235860414,242.4388760193632
2016-05-16 13:00:00,-64.75405351104368,240.9512240237112
2016-05-16 14:00:00,-66.25706653366771,239.45888065773417
2016-05-16 15:00:00,-70.82458588010769,234.89894860733324
2016-05-16 16:00:00,-45.264802980407865,260.4634710640697
2016-05-16 17:00:00,5.901809594380239,311.6330906555261
2016-05-16 18:00:00,-11.125199931182152,294.60796079196746
2016-05-16 19:00:00,-5.460652347385931,250.54508066560032
2016-05-16 20:00:00,-22.708767142285666,250.44721013294796
2016-05-16 21:00:00,-61.97251236183544,226.9564038975847
2016-05-16 22:00:00,-77.52266681740522,218.48907403197936
2016-05-16 23:00:00,-86.48074687458754,213.71608146074843
2016-05-17 00:00:00,-91.13558183804369,211.98246523558205
2016-05-17 01:00:00,-92.2662264147386,211.84608837455386
2016-05-17 02:00:00,-92.67033522938041,212.16812477052903
2016-05-17 03:00:00,-90.41147512982563,214.73543872661634
2016-05-17 04:00:00,-88.7352486158075,216.5583210345717
2016-05-17 05:00:00,-84.77186224551602,220.64158103364448
2016-05-17 06:00:00,-78.0917678295358,227.37919534233168
2016-05-17 07:00:00,-52.56035371173377,252.96690380325705
2016-05-17 08:00:00,-38.80441785049899,266.76819371816623
2016-05-17 09:00:00,-53.30265272605263,252.30559666426794
2016-05-17 10:00:00,-43.361037763663475,262.28185885506684
