,xgboost_strict
2016-05-13 19:00:00,231.36883544921875
2016-05-13 20:00:00,234.23455810546875
2016-05-13 21:00:00,203.55206298828125
2016-05-13 22:00:00,145.76466369628906
2016-05-13 23:00:00,110.49433898925781
2016-05-14 00:00:00,128.34278869628906
2016-05-14 01:00:00,103.63807678222656
2016-05-14 02:00:00,89.01254272460938
2016-05-14 03:00:00,83.76402282714844
2016-05-14 04:00:00,87.01055908203125
2016-05-14 05:00:00,101.32430267333984
2016-05-14 06:00:00,114.22016143798828
2016-05-14 07:00:00,167.91636657714844
2016-05-14 08:00:00,201.52647399902344
2016-05-14 09:00:00,211.2722625732422
2016-05-14 10:00:00,191.98703002929688
2016-05-14 11:00:00,177.7176971435547
2016-05-14 12:00:00,203.7410430908203
2016-05-14 13:00:00,220.57235717773438
2016-05-14 14:00:00,216.6557159423828
2016-05-14 15:00:00,195.3761749267578
2016-05-14 16:00:00,252.94216918945312
2016-05-14 17:00:00,221.95059204101562
2016-05-14 18:00:00,298.3691711425781
2016-05-14 19:00:00,192.7618408203125
2016-05-14 20:00:00,118.44253540039062
2016-05-14 21:00:00,128.65786743164062
2016-05-14 22:00:00,96.08013916015625
2016-05-14 23:00:00,75.33922576904297
2016-05-15 00:00:00,64.70802307128906
2016-05-15 01:00:00,76.91767120361328
2016-05-15 02:00:00,82.66020965576172
2016-05-15 03:00:00,86.58108520507812
2016-05-15 04:00:00,100.30016326904297
2016-05-15 05:00:00,119.07012176513672
2016-05-15 06:00:00,126.4759292602539
2016-05-15 07:00:00,158.7036895751953
2016-05-15 08:00:00,169.20046997070312
2016-05-15 09:00:00,163.43667602539062
2016-05-15 10:00:00,166.85992431640625
2016-05-15 11:00:00,126.66261291503906
2016-05-15 12:00:00,129.56771850585938
2016-05-15 13:00:00,128.6597900390625
2016-05-15 14:00:00,124.31060028076172
2016-05-15 15:00:00,123.89276123046875
2016-05-15 16:00:00,147.95191955566406
2016-05-15 17:00:00,184.71278381347656
2016-05-15 18:00:00,187.9920196533203
2016-05-15 19:00:00,135.15338134765625
2016-05-15 20:00:00,113.02851104736328
2016-05-15 21:00:00,107.11954498291016
2016-05-15 22:00:00,74.97191619873047
2016-05-15 23:00:00,68.7475357055664
2016-05-16 00:00:00,65.30863952636719
2016-05-16 01:00:00,61.88702392578125
2016-05-16 02:00:00,63.41493606567383
2016-05-16 03:00:00,62.60868453979492
2016-05-16 04:00:00,61.68406677246094
2016-05-16 05:00:00,66.33065032958984
2016-05-16 06:00:00,63.47768020629883
2016-05-16 07:00:00,89.08939361572266
2016-05-16 08:00:00,115.23612213134766
2016-05-16 09:00:00,106.22759246826172
2016-05-16 10:00:00,156.45909118652344
2016-05-16 11:00:00,123.5754623413086
2016-05-16 12:00:00,127.0976791381836
2016-05-16 13:00:00,123.8832015991211
2016-05-16 14:00:00,120.9073486328125
2016-05-16 15:00:00,132.5000762939453
2016-05-16 16:00:00,139.73851013183594
2016-05-16 17:00:00,203.96556091308594
2016-05-16 18:00:00,164.73049926757812
2016-05-16 19:00:00,123.2596435546875
2016-05-16 20:00:00,144.30474853515625
2016-05-16 21:00:00,96.5902328491211
2016-05-16 22:00:00,76.87297821044922
